      event_id  detector_system  detector_index  n_hits  first_arrival
388         46                0              77      40       5.543481
389         46                0              80     100       5.741937
390         46                0              82     168       5.131470
391         46                0              97    1126       3.194420
392         46                0              99     300       4.303872
393         46                0             112     424       3.567050
394         46                0             113      69       5.018039
395         46                0             115     284       4.063519
396         46                2             133      97       6.213514
397         47                0               5      64       4.246964
398         47                0               7     298       2.914035
399         47                0               9      23       2.795682
400         47                0              74      11       6.516611
401         47                0              76     250       4.077819
402         47                0              77      77       5.337824
403         47                0              80      98       5.753708
404         47                0              82     137       5.624472
405         47                0              88      10       3.522390
406         47                0              97     687       3.313093
407         47                0              99     220       4.894934
408         47                0             112    1142       2.985077
409         47                0             115     196       4.109597
410         47                2             133      72       6.377829
411         48                0               7     191       3.120036
412         48                0              76     252       3.912410
413         48                0              77      78       5.267495
414         48                0              80      84       5.908273
415         48                0              82      79       6.158099
416         48                0              88      98       2.735935
417         48                0              97     200       3.888775
418         48                0              99     125       5.489995
419         48                0             112     726       2.728663
420         48                0             115     180       4.410596
421         48                2             133      18       6.701333
422         49                0               7      43       3.625386
423         49                0              76     194       4.059116
424         49                0              77      61       5.343648
425         49                0              80      31       6.179904
426         49                0              85     368       1.035854
427         49                0              88     136       2.421041
428         49                0              97     151       4.485462
429         49                0             112     309       3.260110
430         49                0             115     124       4.851789
431         50                0              76      32       4.439364
432         50                0              77       8       5.593084
433         50                0              85    1760       0.478035
434         50                0              88      72       2.377407
435         50                0              97      50       5.174847
436         50                0             112     121       3.847700
437         50                0             115      55       5.365149
438         51                0              76       3       4.912087
439         51                0              85     167       1.377760
440         51                0              88      28       2.708575
441         51                0             112      41       4.459150
442         52                0              42      81       2.496310
443         52                0              75      10       5.380143
444         52                0              82       5       6.220306
445         52                0             113      71       4.516769
446         52                0             117      29       1.248391
447         52                0             120       9       2.510728
448         52                0             121      20       1.582053
449         53                0              42     236       2.154796
450         53                0              74      40       6.132414
451         53                0              75      48       5.025750
452         53                0              82      25       5.592122
453         53                0              99      50       5.268352
454         53                0             113     197       3.949958
455         53                0             117     430       0.878532
456         53                0             120      75       2.111011
457         53                0             121      72       1.131606
458         53                2             134      35       3.212007
459         54                0              42     401       2.372788
460         54                0              45       5       3.682255
461         54                0              74      92       5.714001
462         54                0              75     108       4.761468
463         54                0              82      58       5.009233
464         54                0              99     133       4.684080
465         54                0             113     273       3.426676
466         54                0             117     198       1.255982
467         54                0             120     347       2.144941
468         54                0             121      81       1.503080
469         54                2             133      33       6.618486
470         54                2             134     809       2.740203
471         55                0               5      40       4.402184
472         55                0               8       3       3.963784
473         55                0              42     266       2.869962
474         55                0              74     132       5.384143
475         55                0              75     147       4.678670
476         55                0              80      18       6.531957
477         55                0              82     128       4.431316
478         55                0              97      65       5.622693
479         55                0              99     228       4.175779
480         55                0             113     517       3.063632
481         55                0             115     110       5.559107
482         55                0             120     321       2.531749
483         55                2             133     111       6.147307
484         55                2             134     512       3.329011
485         56                0               5     144       4.070130
486         56                0               8      19       3.665690
487         56                0              42      57       3.525920
488         56                0              74     129       5.190864
489         56                0              75     154       4.783010
490         56                0              80      95       6.043034
491         56                0              82     282       3.968002
492         56                0              97     214       5.059560
493         56                0              99     330       3.787046
494         56                0             113     625       3.209464
495         56                0             115     223       4.981452
496         56                0             120      65       3.109039
497         56                2             133     115       5.828205
498         56                2             134     284       3.924824
499         57                0               5     212       3.964813
500         57                0               8       8       3.874073
501         57                0              74     149       5.177051
502         57                0              75     125       5.050941
503         57                0              76      99       5.292716
504         57                0              80     130       5.634276
505         57                0              82     484       3.898182
506         57                0              97     271       4.519433
507         57                0              99     473       3.713880
508         57                0             112      89       4.867279
509         57                0             113     393       3.686101
510         57                0             115     293       4.415805
511         57                2             133     137       5.640653
512         57                2             134     206       4.521191
513         58                0               5     162       4.056196
514         58                0               7       5       4.160440
515         58                0              74     121       5.348657
516         58                0              75      55       5.431538
517         58                0              76     183       4.713041
518         58                0              77      69       5.405955
519         58                0              80     139       5.318475
520         58                0              82     330       4.297179
521         58                0              97     345       4.036419
522         58                0              99     363       4.018149
523         58                0             112     250       4.312279
524         58                0             113     220       4.240876
525         58                0             115     450       3.880948
526         58                2             133     147       5.583727
527         58                2             134      20       5.156846
528         59                0               5      67       4.390576
529         59                0               7      58       3.722590
530         59                0              74     138       5.660794
531         59                0              76     283       4.146558
532         59                0              77     116       5.025822
533         59                0              80     149       5.151050
534         59                0              82     210       4.830008
535         59                0              97     407       3.715909
536         59                0              99     288       4.497575
537         59                0             112     355       3.794595
538         59                0             113     134       4.814248
539         59                0             115     748       3.489344
540         59                2             133     141       5.618093
541         60                0               7      49       3.708830
542         60                0              74     107       6.069660
543         60                0              76     432       3.622856
544         60                0              77     146       4.765154
545         60                0              80     139       5.167988
546         60                0              82     145       5.395572
547         60                0              88      96       2.974816
548         60                0              97     342       3.767479
549         60                0              99     204       5.035579
550         60                0             112     479       3.382051
551         60                0             115     407       3.574186
552         60                2             133     112       5.856244
553         61                0               7      12       4.051483
554         61                0              74      13       6.565313
555         61                0              76     552       3.316481
556         61                0              77     149       4.673773
557         61                0              80      97       5.369824
558         61                0              82     115       5.974355
559         61                0              88     408       2.362482
560         61                0              97     204       4.143663
561         61                0              99      97       5.598975
562         61                0             112     382       3.270258
563         61                0             115     195       4.029407
564         61                2             133     106       6.174580
565         62                0              70       2       3.627809
566         62                0              76     252       3.592375
567         62                0              77     143       4.771967
568         62                0              80      94       5.700851
569         62                0              82       8       6.609478
570         62                0              85      43       1.504048
571         62                0              88     526       1.895008
572         62                0              97     168       4.643299
573         62                0             112     203       3.571113
574         62                0             115     147       4.577707
575         62                2             133      35       6.608234
576         63                0              63     227       1.082557
577         63                0              70       7       3.473713
578         63                0              76     106       4.109865
579         63                0              77      74       5.043485
580         63                0              80      43       6.122679
581         63                0              85     126       1.016883
582         63                0              88     276       1.819432
583         63                0              97      88       5.191852
584         63                0             112      70       4.117482
585         63                0             115     123       5.158382
586         64                0              63      86       1.021722
587         64                0              76      28       4.694406
588         64                0              85      10       1.779142
589         64                0              88     147       2.274197
590         64                0             112     106       4.573542
591         64                0             115       4       5.762656
592         65                0              42      90       2.300806
593         65                0              45      40       2.996329
594         65                0              75      51       5.010456
595         65                0             113      61       4.446795
596         65                0             117     204       1.711794
597         65                0             120       3       3.268112
598         65                2             134       1       4.358544
599         66                0              42     757       1.702605
600         66                0              45      53       2.856240
601         66                0              74      31       5.861145
602         66                0              75      44       4.540345
603         66                0              99      46       5.489952
604         66                0             113     101       3.853559
605         66                0             117    1527       0.514244
606         66                0             120       2       2.941393
607         66                2             133       9       6.796773
608         66                2             134      46       3.363183
609         67                0              42     695       2.145211
610         67                0              45     147       2.927266
611         67                0              73       4       5.167219
612         67                0              74     111       5.290673
613         67                0              75     193       4.204666
614         67                0              82      42       4.981400
615         67                0              99     135       5.014854
616         67                0             113     337       3.258729
617         67                0             117     481       1.056832
618         67                0             120     103       2.712234
619         67                0             130       1       5.947849
620         67                2             133      90       6.297651
621         67                2             134     227       3.222920
622         68                0              42     298       2.740031
623         68                0              45      88       3.278415
624         68                0              73      31       5.041338
625         68                0              74     120       4.879797
626         68                0              75     215       4.083351
627         68                0              80      72       6.214209
628         68                0              82     176       4.272685
629         68                0              97      24       5.878294
630         68                0              99     158       4.608150
631         68                0             113     660       2.710204
632         68                0             115     102       5.505785
633         68                0             120      75       2.995941
634         68                0             130      27       5.607697
635         68                2             133     131       5.739424
636         68                2             134     263       3.561437
637         69                0              42      84       3.378936
638         69                0              73      25       5.083260
639         69                0              74     181       4.609288
640         69                0              75     164       4.235282
641         69                0              80     134       5.688001
642         69                0              82     437       3.677344
643         69                0              97     146       5.338727
644         69                0              99     180       4.342016
645         69                0             113    1210       2.972003
646         69                0             115     234       4.910200
647         69                0             130      80       5.450529
648         69                2             133     154       5.368248
649         69                2             134     204       4.083759
650         70                0               5       3       5.086082
651         70                0              73       1       5.363101
652         70                0              74     222       4.590321
653         70                0              75     165       4.587513
654         70                0              76     116       5.247664
655         70                0              77      50       5.530387
656         70                0              80     142       5.203566
657         70                0              82    1193       3.539661
658         70                0              96      31       5.799549
659         70                0              97     189       4.877276
660         70                0              99     264       4.298276
661         70                0             112      30       5.138989
662         70                0             113     472       3.564439
663         70                0             115     328       4.315664
664         70                0             130      84       5.427815
665         70                2             133     194       5.038753
666         70                2             134     113       4.649930
667         71                0              74     192       4.829145
668         71                0              75     144       5.046994
669         71                0              76     200       4.653370
670         71                0              77     164       5.017932
671         71                0              80     179       4.800224
672         71                0              82     433       4.131545
673         71                0              96      79       5.551611
674         71                0              97     225       4.505759
675         71                0              99     232       4.494569
676         71                0             112     166       4.630178
677         71                0             113     298       4.158043
678         71                0             115     600       3.721714
679         71                0             130      84       5.539902
680         71                2             133     238       4.989630
681         71                2             134       1       5.278473
682         72                0              74     173       5.230299
683         72                0              75      40       5.561398
684         72                0              76     290       4.060279
685         72                0              77     180       4.559254
686         72                0              80     231       4.561888
687         72                0              82     247       4.726090
688         72                0              96      89       5.431866
689         72                0              97     245       4.297699
690         72                0              99     216       4.860192
691         72                0             112     232       4.210876
692         72                0             113     146       4.753289
693         72                0             115    1015       3.140894
694         72                0             130      26       5.779974
695         72                0             131       3       5.379107
696         72                2             133     191       5.055103
697         73                0              74     132       5.712386
698         73                0              76     617       3.467916
699         73                0              77     221       4.213026
700         73                0              80     191       4.588024
701         73                0              82     172       5.321759
702         73                0              88     134       2.856515
703         73                0              96      68       5.451921
704         73                0              97     198       4.328445
705         73                0              99     151       5.321963
706         73                0             112     247       3.926103
707         73                0             115     718       3.302996
708         73                0             131      28       5.072389
709         73                2             133     122       5.349996
710         74                0              70      61       3.241163
711         74                0              74      69       6.235755
712         74                0              76     760       2.993453
713         74                0              77     198       4.076965
714         74                0              80     149       4.863890
715         74                0              82     152       5.916553
716         74                0              88     505       2.237885
717         74                0              96      21       5.607119
718         74                0              97     170       4.583075
719         74                0              99      29       5.851819
720         74                0             112     214       3.859125
721         74                0             115     261       3.895354
722         74                0             131      20       5.032825
723         74                2             133     122       5.773344
724         75                0              63      53       1.560646
725         75                0              70     153       2.860813
726         75                0              76     322       3.428277
727         75                0              77     162       4.223273
728         75                0              80     109       5.284832
